iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
61,2.345430612564087,-556.1095892622451,20.520040512951788,-514.6144922794869,-620.1132828501466,0.9464378868205042,0.05,0.04157376289367676,0.47702789306640625,0.025664356,0.05173468,-554.4744988448973,-0.09024948453824605,-2.2783316305699564,0.0,8511,1.431670904159546,0.0020854281669341447,0.0020272737354875463,-519.4527248669946
62,2.528272867202759,-562.8523634953498,27.374002138742938,-514.1668641657392,-657.0054577290384,0.9036865146066817,0.05,0.061714887619018555,0.5792810916900635,0.02465685,0.05478776,-555.3122853099426,-0.0931843809791436,-2.3120316131567002,0.0,9001,1.5784666538238525,0.0022052742707508073,0.002091449471210157,-521.2716533018148
63,2.5932888984680176,-566.9570120369425,25.648254995011353,-516.9976797268905,-649.2265980030927,0.9324806045963974,0.05,0.08148193359375,0.6159977912902832,0.025021095,0.054029316,-556.4767579826425,-0.09412839414482178,-2.332462448910271,0.0,9593,1.3663041591644287,0.002279488784193765,0.00206985405322158,-522.024303324474
64,2.8203370571136475,-565.9892928343774,26.551365453523534,-516.9084130763391,-647.3435530900521,0.9827932830234998,0.05,0.07911896705627441,0.6769521236419678,0.02571901,0.050952516,-557.4280114678161,-0.09505432764623395,-2.3277405278809,0.0,9693,1.4497828483581543,0.002826403826395908,0.0027078425822831867,-525.2041357936195
65,2.9019975662231445,-562.7489460025894,27.778991623325414,-516.3883657594318,-650.494982584908,0.9020436301810677,0.05,0.06266665458679199,0.45429229736328125,0.024765907,0.056215372,-557.9601049212935,-0.09306866681827176,-2.3118577785537715,0.0,9746,1.8118832111358643,0.0031532179333083115,0.002934459412027553,-525.2427053443935
66,2.650784492492676,-568.6488421718816,29.47959737200558,-515.9499635083613,-659.216714229973,0.9288544855490988,0.05,0.06542420387268066,0.5650296211242676,0.02533453,0.05368209,-559.0289786463524,-0.09605432390591272,-2.3414206591496187,0.0,10317,1.5856592655181885,0.003552654529799397,0.003273023149974984,-527.5036953540098
67,2.7600748538970947,-570.5665432921635,32.837226640972716,-511.6200890436109,-672.3962333593256,1.0497952418053522,0.05,0.04640483856201172,0.564178466796875,0.024778815,0.04725159,-560.1827351109334,-0.09656099510503623,-2.351010659147297,0.0,10588,1.9074783325195312,0.0028426556787999793,0.00269685994211117,-581.4697458799068
68,2.716372013092041,-570.999767025547,30.728149941243945,-517.702203990738,-648.7564146058983,1.0864494075581999,0.05,0.0592646598815918,0.5269918441772461,0.024897425,0.046561338,-561.2644383023948,-0.09682421999317033,-2.353260942032036,0.0,10681,1.9754023551940918,0.003796369766091162,0.0036761562413333846,-632.8975050090276
69,3.1796798706054688,-566.4544590741522,49.62640045627954,-150.71225632681674,-652.4749082443158,1.0041181571025666,0.05,0.03326821327209473,0.5955016613006592,0.024827244,0.061776545,-561.7834403795705,-0.09451189768303081,-2.330768260934881,0.0,10984,1.8742845058441162,0.018916632150204917,0.01683534750678755,-598.5328571227979
70,2.8218834400177,-562.2900117699227,47.734912300158335,-162.99067029282813,-644.2092569785627,0.8385993776447171,0.05,0.10274267196655273,0.6593825817108154,0.02428975,0.10097576,-561.8340975186057,-0.09502175872068583,-2.3098023172862527,0.0,10656,1.864013910293579,0.017351136174061442,0.014554627473064338,-584.4196095947017
